Created,ID,Text
2022-04-10T11:20:53.000Z,1513114794244640772,"Przez #Stuttgart przejechała w sobotę długa kolumna samochodów, ozdobionych flagami Rosji i Związku Sowieckiego; słychać było rosyjski hymn i „Kalinkę”. Uczestnicy chcieli zaprotestować przeciwko rosnącej wrogości wobec #Rosja.

Więcej na #Paradyzja

https://t.co/6Y3s0Lgp0R"
2022-04-10T11:18:50.000Z,1513114278315933703,"Żołnierze rosyjscy włamujący się do mieszkań cywilnych w regionie Irpinie koło Kijowa i kradnący z nich rzeczy.
#Ukraine  #wojna #rosja #ukraina #rosjaukraina #WojnaWUkrainie #WarinUkraine #war #russia https://t.co/7amLxFkGOO"
2022-04-10T11:17:13.000Z,1513113869392269319,Czy Polska Jest Bezpieczna? - Jasnowidz #Jackowski i Ator Przepowiednie A... https://t.co/VbnLSQ3rz9 przez @YouTube #TeorieSpiskowe #Geopolityka #Rosja #Ukraina #NATO
2022-04-10T11:10:18.000Z,1513112127422218250,"Szkolenie w obsłudze bezodrzutowego granatnika Carl-Gustaf M3 żołnierzy Gwardii Narodowej Ukrainy z Charkowa.

#Ukraine #UkraineRussiaWar #Ukraina #Rosja #WojnaNaUkrainie https://t.co/kFJuiTjjWL"
2022-04-10T11:01:52.000Z,1513110005389606913,Rosja to jednak naród popierający wojnę i morderstwa . Nazwijmy po imieniu barbarzyńcy to ruscy. Kraj dzikusów .  #Wojna #Ukraina #Bucza #Rosja #RosjaUkraina #Rosjanie https://t.co/QxiwOIEMMd
2022-04-10T10:56:39.000Z,1513108695001055232,Trudno pojąć ten poziom odklejenia od rzeczywistości. https://t.co/y7b51JUtrF #rosja #Ukraina #WojnaWUkrainie
2022-04-10T10:55:00.000Z,1513108277583831043,"MI odradza polskim przewoźnikom wykonywanie podróży do Białorusi i Rosji, a tym, którzy posiadają pojazdy na terytorium tych państw, zaleca ich powrót do Polski #Białoruś #Rosja #Polska #transport #przewoźnicy https://t.co/jZ9qBReeXb https://t.co/6GjZGi8JHo"
2022-04-10T10:53:08.000Z,1513107810577489922,"#RosyjskaAgresja | #Arestowicz (doradca kancelarii @ZelenskyyUa) o sytuacji na froncie:
-trwają walki w #Mariupol;
- „W obwodzie charkowskim wróg dołącza rezerwę, ale tam nawet pogoda nam sprzyja”;
-„Okręty bojowe #Rosja zaczęły ukrywać numery burtowe,aby ukryć poniesione straty”"
2022-04-10T10:51:49.000Z,1513107476211765253,"Wojskowy, który nagrał akty seksualne z niemowlęciem, został zatrzymany w #Rosja.

Jego imię to Aleksiej Byczkow. Podobno sfilmował takie treści w celu sprzedaży ich w #darknet. Był zawiedziony po tym, jak wysłał filmy z dzieckiem do swoich kolegów. https://t.co/u9edCSLdug"
2022-04-10T10:51:27.000Z,1513107383400210432,"Atak na Polskę tzw.  ""praworządnością"" i odbieranie nam mld euro z funduszy UE, to wspólny projekt Berlina  Moskwy i Targowicy RP. Posłuchaj co mówi o tym europoseł Patryk Jaki 👍👍👍
#Niemcy
#Rosja
#TargowicaRP 
https://t.co/jOjdXFvDN2 https://t.co/pE76f2NWye"
